eventId, subEventName, tags, playerId, positions, matchId, eventName, teamId, matchPeriod, eventSec, subEventId, id 
9;Reflexes;[{'id': 101}, {'id': 1201}, {'id': 1802}];77502;[{'y': 100, 'x': 100}, {'y': 58, 'x': 10}];2499721;Save attempt;1646;2H;2542.8179090000003;90;178123607
9;Reflexes;[{'id': 101}, {'id': 1802}];8425;[{'y': 0, 'x': 0}, {'y': 49, 'x': 1}];2499722;Save attempt;1628;1H;1356.037651;90;178204281
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1208}, {'id': 1801}];214654;[{'y': 48, 'x': 93}, {'y': 100, 'x': 100}];2499722;Shot;1673;1H;1506.694938;100;178204317
9;Reflexes;[{'id': 101}, {'id': 1208}, {'id': 1802}];8425;[{'y': 0, 'x': 0}, {'y': 52, 'x': 7}];2499722;Save attempt;1628;1H;1509.212197;90;178204318
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1206}, {'id': 1801}];214654;[{'y': 60, 'x': 85}, {'y': 100, 'x': 100}];2499722;Shot;1673;2H;1963.95352;100;178205146
9;Reflexes;[{'id': 101}, {'id': 1206}, {'id': 1802}];8425;[{'y': 0, 'x': 0}, {'y': 40, 'x': 15}];2499722;Save attempt;1628;2H;1968.3411130000004;90;178205201
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1203}, {'id': 1801}];7944;[{'y': 49, 'x': 94}, {'y': 0, 'x': 0}];2499723;Shot;1623;1H;2714.265932;100;178215655
9;Reflexes;[{'id': 101}, {'id': 1203}, {'id': 1802}];8094;[{'y': 100, 'x': 100}, {'y': 51, 'x': 6}];2499723;Save attempt;1639;1H;2716.210598;90;178215041
10;Shot;[{'id': 101}, {'id': 401}, {'id': 201}, {'id': 1205}, {'id': 1801}];7905;[{'y': 37, 'x': 92}, {'y': 0, 'x': 0}];2499724;Shot;1611;1H;1974.2909690000001;100;178494948
9;Reflexes;[{'id': 101}, {'id': 1205}, {'id': 1802}];8301;[{'y': 100, 'x': 100}, {'y': 63, 'x': 8}];2499724;Save attempt;1633;1H;1977.3644330000002;90;178495026
