eventId; subEventName; tags; playerId; positions; matchId; eventName; teamId; matchPeriod; eventSec; subEventId; id 
10;Shot;[{'id': 101}, {'id': 1901}, {'id': 402}, {'id': 201}, {'id': 1201}, {'id': 1801}];8144;[{'y': 54, 'x': 92}, {'y': 100, 'x': 100}];2499947;Shot;1619;1H;2629.077687;100;220691395
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1206}, {'id': 1801}];10663;[{'y': 54, 'x': 95}, {'y': 0, 'x': 0}];2499947;Shot;1644;2H;728.848669;100;220691129
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1201}, {'id': 1801}];28292;[{'y': 55, 'x': 94}, {'y': 0, 'x': 0}];2499947;Shot;1644;2H;2672.218154;100;220691536
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1207}, {'id': 1801}];7914;[{'y': 44, 'x': 96}, {'y': 0, 'x': 0}];2499948;Shot;1627;1H;208.18028700000002;100;220688159
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1209}, {'id': 1801}];8360;[{'y': 58, 'x': 87}, {'y': 0, 'x': 0}];2499948;Shot;1627;2H;544.102476;100;220688997
10;Shot;[{'id': 101}, {'id': 403}, {'id': 201}, {'id': 1205}, {'id': 1801}];3560;[{'y': 43, 'x': 96}, {'y': 0, 'x': 0}];2499949;Shot;1609;1H;301.427975;100;222290972
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];230020;[{'y': 44, 'x': 92}, {'y': 0, 'x': 0}];2499949;Shot;1609;1H;558.703638;100;222291241
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1203}, {'id': 1801}];7855;[{'y': 46, 'x': 98}, {'y': 0, 'x': 0}];2499949;Shot;1609;1H;763.0927;100;222291352
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];25413;[{'y': 48, 'x': 87}, {'y': 0, 'x': 0}];2499949;Shot;1609;1H;1289.422447;100;222291605
10;Shot;[{'id': 101}, {'id': 402}, {'id': 201}, {'id': 1202}, {'id': 1801}];127537;[{'y': 32, 'x': 91}, {'y': 100, 'x': 100}];2499949;Shot;1628;2H;1930.9168829999999;100;222291939
